movieId,tag,rating,genres,release_year,title_movie,imdb,tmdb
22,serial killer,3.2222222222222223,Crime|Drama|Horror|Mystery|Thriller,1995,Copycat ,"
                    An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
            ","
An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
"
25,alcoholism,3.625,Drama|Romance,1995,Leaving Las Vegas ,"
                    Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
            ","
Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
"
26,Shakespeare,3.5,Drama,1995,Othello ,"
                    The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.
            ","
The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
"
28,In Netflix queue|Jane Austen,4.2272727272727275,Drama|Romance,1995,Persuasion ,"
                    Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...
                    See full summary »
            ","
This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.
"
29,kidnapping,4.0131578947368425,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"City of Lost Children, The ","
                    A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
            ","
A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
"
31,high school|teacher,3.1842105263157894,Drama,1995,Dangerous Minds ,"
                    An ex-Marine turned teacher struggles to connect with her students in an inner city school.
            ","
Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.
"
32,time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending,3.983050847457627,Mystery|Sci-Fi|Thriller,1995,Twelve Monkeys ,"
                    In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
            ","
In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.
"
34,Animal movie|pigs|villain nonexistent or not needed for good story,3.65234375,Children|Drama,1995,Babe ,"
                    Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
            ","
Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.
"
36,death penalty|Nun,3.8358208955223883,Crime|Drama,1995,Dead Man Walking ,"
                    A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
            ","
A justice drama based on a true story about a man on death row who, in his last days, forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality, as she accompanies him to his execution.
"
38,twins,2.125,Children|Comedy,1995,It Takes Two ,"
                    Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.
            ","
Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.
"
39,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen,3.293269230769231,Comedy|Romance,1995,Clueless ,"
                    A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
            ","
Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.
"
40,In Netflix queue|South Africa,4.25,Drama,1995,"Cry, the Beloved Country ","
                    A South African preacher goes to search for his wayward son, who has committed a crime in the big city.
            ","
A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
"
41,Shakespeare,3.7,Drama|War,1995,Richard III ,"
                    The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
            ","
A murderous lust for the British throne sees Richard III (Ian McKellen) descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension -- among them his brother, his nephews and his brother's wife (Annette Bening). When the Duke of Buckingham (Jim Broadbent) deserts him, Richard's plans are compromised.
"
43,England,3.1875,Drama,1995,Restoration ,"
                    The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.
            ","
An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.
"
45,Journalism,3.3125,Comedy|Drama|Thriller,1995,To Die For ,"
                    A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
            ","
Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.
"
46,wedding,3.066666666666667,Drama|Romance,1995,How to Make an American Quilt ,"
                    Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
            ","
Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.
"
47,mystery|twist ending|serial killer,3.9753694581280787,Mystery|Thriller,1995,Seven ,"
                    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
            ","
Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.
"
50,mindfuck|suspense|thriller|tricky|twist ending|heist,4.237745098039215,Crime|Mystery|Thriller,1995,"Usual Suspects, The ","
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
            ","
Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.
"
52,adoption|prostitution,3.4642857142857144,Comedy|Drama|Romance,1995,Mighty Aphrodite ,"
                    When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
            ","
When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.
"
58,writing,4.027027027027027,Comedy|Drama|Romance,1994,"Postman, The ","
                    A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.
            ","
Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
"
62,music,3.70625,Drama,1995,Mr. Holland's Opus ,"
                    A frustrated composer finds fulfillment as a high school music teacher.
            ","
In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.
"
92,Jekyll and Hyde,2.625,Drama|Horror|Thriller,1996,Mary Reilly ,"
                    A housemaid falls in love with Dr. Henry Jekyll (John Malkovich) and his darkly mysterious counterpart, Mr. Edward Hyde.
            ","
A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.
"
96,theater,3.5,Comedy|Drama,1995,In the Bleak Midwinter ,"
                    A group of theater actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys.
            ","
Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.
"
101,crime|off-beat comedy|quirky,3.782608695652174,Adventure|Comedy|Crime|Romance,1996,Bottle Rocket ,"
                    Three friends plan to pull off a simple robbery and go on the run.
            ","
Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.
"
104,test tag|golf|Adam Sandler,3.4393939393939394,Comedy,1996,Happy Gilmore ,"
                    A rejected hockey player puts his skills to the golf course to save his grandmother's house.
            ","
Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.
"
107,muppets,3.326923076923077,Adventure|Children|Comedy|Musical,1996,Muppet Treasure Island ,"
                    The Muppets' twist on the classic tale.
            ","
After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.
"
110,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight|Scotland,4.031645569620253,Action|Drama|War,1995,Braveheart ,"
                    When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
            ","
Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.
"
111,assassination,4.105769230769231,Crime|Drama|Thriller,1976,Taxi Driver ,"
                    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
            ","
A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.
"
116,Holocaust,3.9,Documentary,1995,Anne Frank Remembered ,"
                    Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...
                    See full summary »
            ","
Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift
"
122,dating,2.65625,Comedy|Romance,1992,Boomerang ,"
                    A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
            ","
Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.
"
140,journalism,3.5,Drama|Romance,1996,Up Close and Personal ,"
                    An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.
            ","
Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart...
"
147,addiction|heroin|Leonardo DiCaprio|Mark Wahlberg,3.466666666666667,Drama,1995,"Basketball Diaries, The ","
                    A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
            ","
Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.
"
150,moon|NASA|space,3.845771144278607,Adventure|Drama|IMAX,1995,Apollo 13 ,"
                    NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
            ","
The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.
"
153,superhero|superhero,2.9160583941605838,Action|Adventure|Comedy|Crime,1995,Batman Forever ,"
                    Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.
            ","
The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.
"
160,Michael Crichton,2.8771929824561404,Action|Adventure|Mystery|Sci-Fi,1995,Congo ,"
                    When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.
            ","
Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.
"
161,submarine,3.6359223300970873,Drama|Thriller|War,1995,Crimson Tide ,"
                    On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.
            ","
On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.
"
162,In Netflix queue,4.205882352941177,Documentary,1994,Crumb ,"
                    An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.
            ","
This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.
"
175,controversial|New York City|Nudity (Full Frontal),3.975,Drama,1995,Kids ,"
                    A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.
            ","
A controversial portrayal of teens in New York City which exposes a deeply disturbing world of sex and substance abuse. The film focuses on a sexually reckless, freckle-faced boy named Telly, whose goal is to have sex with as many different girls as he can. When Jenny, a girl who has had sex only once, tests positive for HIV, she knows she contracted the disease from Telly. When Jenny discovers that Telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, Jenny makes it her business to try to stop him.
"
185,computers,3.0401785714285716,Action|Crime|Thriller,1995,"Net, The ","
                    A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.
            ","
Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...
"
199,Made me cry,4.125,Drama|Musical|Romance,1964,"Umbrellas of Cherbourg, The ","
                    A young woman separated from her lover by war faces a life-altering decision.
            ","
This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.
"
215,generation X,4.041666666666667,Drama|Romance,1995,Before Sunrise ,"
                    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
            ","
On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.
"
216,school|Adam Sandler|stop looking at me swan,3.326530612244898,Comedy,1995,Billy Madison ,"
                    In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.
            ","
Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.
"
222,Ireland,3.75,Drama|Romance,1995,Circle of Friends ,"
                    'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at ...
                    See full summary »
            ","
Three girlhood friends now at college share first loves, first kisses and first betrayals. At the center of it all is the best-looking boy on campus. Can a self-conscious dreamer hook the biggest fish in the pond?
"
223,cynical|hilarious|independent film|quirky|witty|generation X,3.855769230769231,Comedy,1994,Clerks ,"
                    A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.
            ","
Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.
"
224,mental illness|psychology,3.6125,Comedy|Drama|Romance,1995,Don Juan DeMarco ,"
                    A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world.
            ","
John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.
"
230,Stephen King,3.3958333333333335,Drama|Thriller,1995,Dolores Claiborne ,"
                    A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.
            ","
Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.
"
232,In Netflix queue,3.892857142857143,Comedy|Drama|Romance,1994,Eat Drink Man Woman ,"
                    A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
            ","
The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques and artistry of gourmet Chinese cooking. Since the family members have difficulty expressing their love for each other, the intricate preparation of banquet quality dishes for their Sunday dinners is the surrogate for their familial feelings.
"
235,movie business,3.6785714285714284,Comedy|Drama,1994,Ed Wood ,"
                    Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.
            ","
The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.
"
237,basketball|France|infertility,3.340909090909091,Comedy|Romance,1995,Forget Paris ,"
                    Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.
            ","
Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive.
"
246,basketball,4.293103448275862,Documentary,1994,Hoop Dreams ,"
                    A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
            ","
Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.
"
247,Australia,3.9285714285714284,Crime|Drama,1994,Heavenly Creatures ,"
                    Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.
            ","
Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart.
"
248,bad|Sinbad,3.176470588235294,Comedy,1994,Houseguest ,"
                    In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.
            ","
In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.
"
249,Beethoven,3.7222222222222223,Drama|Romance,1994,Immortal Beloved ,"
                    The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...
                    See full summary »
            ","
The life and death of the legendary Ludwig van Beethoven. Beside all the work he is known for, the composer once wrote a famous love letter to a nameless beloved and the movie tries to find out who this beloved was. Not easy as Beethoven has had many women in his life.
"
252,Einstein,3.453488372093023,Comedy|Romance,1994,I.Q. ,"
                    A mechanic romances the mathematician niece of physicist Albert Einstein, with help from Einstein and his friends.
            ","
Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.
"
257,court,3.5,Mystery|Thriller,1995,Just Cause ,"
                    A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.
            ","
Bobby Earl is facing the electric chair for the murder of a young girl. Eight years after the crime he calls in Paul Armstrong, a professor of law, to help prove his innocence. Armstrong quickly uncovers some overlooked evidence to present to the local police, but they aren't interested - Bobby was their killer.
"
